id,label,text
1,B,올해에는 많은 부서들이 예산보다 초과 지출했다.
2,B,그 사업을 위한 예산으로 1억원이 책정되어 있다
3,B,우리는 예산이 아주 빠듯하다
4,B,그 부서의 예산은 손댈 수 없다
5,B,우리가 올해는 예산보다 돈을 덜 썼다.
6,B,그 예산에는 느슨한 부분이 극히 적다.
7,B,우리 부서가 예산 삭감으로 한 방 맞았다.
8,B,우리가 신경 써서 예산을 짜면 그 여행비를 마련할 수 있을 거예요.
9,B,예산 총액이 주요 걸림돌입니다.
10,B,예산을 더 잘 짜봐야겠어.
11,B,예산에는 여유가 거의 없다.
12,B,우리는 견본 개발을 위한 많은 예산을 가지고 있다.
13,B,그 프로젝트는 자세히 비용 산출을 할 필요가 있다.
14,B,이 제안서들에 대한 비용 산출을 이미 다 하셨습니까?
15,B,비용은 무시해도 될 정도였다.
16,B,그것의 주된 문제점은 비용이다.
17,B,비용은 최소한도를 유지해야 한다.
18,B,이제 비용 문제로 넘어가야겠군요.
19,B,회사가 그녀의 청구 금액을 지불하기를 거부하고 있다.
20,B,이 부서가 올해 한도 금액보다 더 많은 돈을 지출할지도 모르겠다.
21,B,근본적인 전제는 이용 가능한 금액이 제한되어 있다는 것이다.
22,B,강연 초빙에 정해진 금액이 있으면 말씀해주십시오.
23,B,귀하의 초청과 제시하신 금액을 기쁘게 수락하겠습니다.
24,B,망설일 여지가 없어요. 이 집을 원하신다면 오늘 원하시는 금액을 제시하셔야 해요.
25,B,그들은 요금의 액수에 대해 항의를 했다.
26,B,들어가기 전에 요금을 내도록 되어 있어요.
27,B,그들이 청구한 요금 일부는 믿을 수가 없을 거예요. 이건 순 날강도라니까요.
28,B,우리가 돈을 내려 하면 바로 전에 갑자기 돈이 없다고 해.
29,B,필요하면 돈은 있다.
30,B,돈 가진 것이 있니?
31,B,싸구려를 사면 돈만 버린다.
32,B,우리는 돈이 필요했지만 당장에 들어올 돈은 없었다.
33,B,이것은 고심해서 모은 돈이다
34,B,그 회사는 자금력이 엄청나다.
35,B,지금 당장은 나에게 자금이 부족하다.
36,B,우리 계획은 자금 부족으로 실현되지 못했다.
37,B,프로젝트를 위한 자금을 구하다
38,B,그들이 더 많은 자금을 구하고는 있지만 돈이 없다.
39,B,그 사업을 위한 자금은 지방 정부를 통해 지급될 것이다.
40,B,감당할 수 있는 가격
41,B,우리가 가격에 동의하는 거죠?
42,B,그 아파트는 가격이 적정하다.
43,B,그 가격은 협상 가능한 사항이 아니다.
44,B,나는 그 제품 가격의 액수에 깜짝 놀랐다.
45,B,나는 가격이 적정할 때에만 그것을 살 것이다.
46,B,그들은 공공비 지출 삭감을 발표했다.
47,B,지출은 타당한 한도 내에서 이뤄져야 한다.
48,B,올해는  지출에 엄격한 한도를 정했다.
49,B,새로운 규정에 따르면 사무 장비에 대한 지출이 엄격히 통제된다.
50,B,현금 부족이 제한 요소이다.
51,B,현금은 얼마나 준비가 되나요?
52,B,수중에 현금이 얼마나 있으세요?
53,B,내가 지금 당장은 정말 현금이 궁하다.
54,B,제게 남아 있는 현금이 전혀 없는 것 같군요.
55,B,나는 지금 현금이 부족해요.
56,B,예비사업비 또한 허용되었다.
57,B,사업비는 늘었다.
58,B,관계자들은 이번 주말 사업비 확정을 거부했다.
59,B,올해 사업예산 51억 원이 신규 선정될 19개 과제와 기존 16개 과제 등에 투입된다.
60,B,10억원이 그 사업을 위한 예산으로 책정되어 있다.
61,B,그 새 사업에는 800억의 예산이 들어갈 것이다.
62,B,서울시와 관계 부처가 약 300억원에 달하는 사업비용을 지불 할 것이다.
63,B,당신의 대출 신청서를 살펴보았는데 제출하신 수치에 근거해 볼 때 사업 비용으로 4억원의 대출금을 제공해 드릴 수 있습니다.
64,B,"그러나, 기업들은 사업 비용에 대한 보완이 높게는 10%는 되어야 한다는 제안에 주저했다"
65,B,나는 낮은 금액으로 사업을 진행할 수 있다.
66,B,그러한 시스템을 도입하는데 소요되는 비용에 대해 아직 아무런 고려가 없었다.
67,B,"비용을 충당하 기 위해, 새로운 정책이 도입될 것이다."
68,B,국방부는 군인들의 안전을 위한 지뢰 방호 차량을 구매하는 데 예산을 배당했다.
69,B,"아울러, 사무용품 외에도 다른 구매대상에 대한 예산도 집행합니다."
